city_code;da_name;da_population;da_surface_ha;dvf_nbtrans_residential;dvf_pxm2_median_residential;dvf_surface_median_residential;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain
01107;Cleyzieu;143;772.3;6;1264;110;6;1264;0;;110;;0;;
01108;Coligny;1360;1688.01;50;1621;101;41;1636;9;1120;104;58;7;176;278
01109;Collonges;2398;1633.03;98;4084;89;65;4202;33;3805;102;60;10;989;246
01110;Colomieu;159;588.34;6;1568;104;6;1568;0;;104;;0;;
01111;Conand;134;1533.55;13;1769;85;13;1769;0;;85;;0;;
01112;Condamine;480;453.91;11;2474;99;11;2474;0;;99;;3;293;116
01113;Condeissiat;839;2175.58;19;1918;90;16;1936;3;1489;94;74;0;;
01114;Confort;668;1129.47;14;3302;102;10;3384;5;3182;117;69;1;43;46
01115;Confrançon;1356;1817.9;32;2015;98;26;2146;13;2171;106;58;10;46;1004
01116;Contrevoz;494;1423.66;25;1667;101;23;1738;7;1611;101;54;0;;
01117;Conzieu;155;713.11;6;2186;108;6;2186;0;;108;;0;;
01118;Corbonod;1333;3206.46;36;3007;90;31;3125;5;2759;95;58;8;203;915
01121;Corlier;116;554.59;5;578;114;4;577;1;578;122;45;0;;
01123;Cormoranche-sur-Saône;1179;994.41;27;2369;105;27;2369;0;;105;;5;173;147
01124;Cormoz;703;1967.43;22;1896;96;21;1881;2;4091;101;41;4;10;1379
01125;Corveissiat;601;2303.38;25;1458;99;25;1458;3;1238;99;68;1;66;458
01127;Courmangoux;522;1503.91;15;1736;121;14;1722;1;2600;121;50;3;58;862
01128;Courtes;289;896.3;16;1859;99;16;1859;0;;99;;0;;
01129;Crans;326;1325.37;7;3022;115;7;3022;0;;115;;5;173;491
01130;Bresse Vallons;2388;2616.65;46;2114;99;45;2105;4;2144;99;89;32;104;551
01133;Cressin-Rochefort;380;779.48;6;1941;108;5;2466;1;1417;96;120;0;;
01134;Crottet;1847;1227.14;33;2200;106;31;2216;6;1281;106;61;12;140;480
01135;Crozet;2416;2724.74;53;5104;115;40;5187;22;4589;130;72;10;538;426
01136;Cruzilles-lès-Mépillat;984;1192.01;19;2088;130;19;2088;0;;130;;20;99;695
01138;Culoz-Béon;3453;2930.71;100;1926;83;66;1912;34;1932;88;62;15;92;551
01139;Curciat-Dongalon;472;2397.19;16;1552;103;15;1510;3;1667;105;51;3;201;268
01140;Curtafond;825;1274.4;13;2452;106;13;2452;0;;106;;6;361;458
01141;Cuzieu;424;486.45;17;2111;110;17;2111;0;;110;;5;53;280
01142;Dagneux;4778;683.38;122;3144;90;78;3178;44;3010;99;71;5;173;571
01143;Divonne-les-Bains;10464;3388.66;437;5969;90;102;6623;335;5816;139;77;25;1100;524
01145;Dompierre-sur-Veyle;1245;2914.56;25;2521;104;24;2528;3;4333;105;30;15;171;600
01146;Dompierre-sur-Chalaronne;456;477.49;17;2473;92;16;2216;2;3922;95;95;6;183;639
01147;Domsure;554;1528.72;12;1961;118;12;1961;1;1044;118;45;1;64;344
01148;Dortan;2074;1877.66;32;2339;97;28;2345;8;1884;98;64;7;121;706
01149;Douvres;1104;519.78;25;2540;120;23;2540;5;2194;120;60;8;1129;140
01150;Drom;215;783.6;7;1616;100;7;1616;0;;100;;0;;
01151;Druillat;1129;2087.09;28;2519;109;28;2519;0;;109;;8;307;756
01152;Échallon;784;2815.41;15;2652;92;13;2652;10;1941;96;101;3;178;134
01153;Échenevex;2328;1644.74;68;4999;100;52;5094;16;4835;112;68;6;1417;406
01155;Évosges;142;1202.71;11;1467;116;11;1467;0;;116;;1;28;1490
01156;Faramans;934;1123.17;14;3590;117;14;3590;0;;117;;9;259;549
01157;Fareins;2533;826.26;76;2834;112;71;2827;7;2600;115;79;12;313;675
01158;Farges;1082;1419.8;33;3868;98;22;4048;11;3767;126;74;8;1656;144
01159;Feillens;3411;1489.6;80;1984;90;66;2043;14;1714;91;81;46;305;213
01160;Ferney-Voltaire;12094;478.65;410;4724;69;32;5121;378;4663;116;68;2;9559;1280
01162;Flaxieu;71;292.05;3;1543;81;3;1543;0;;81;;2;103;778
01163;Foissiat;2034;4013.96;56;1924;101;50;2039;6;918;103;86;11;284;823
01165;Francheleins;1597;1366.25;33;3091;91;33;3091;1;6567;91;62;9;243;403
01166;Frans;2582;808.91;98;2823;89;74;2800;24;2960;98;74;21;298;466
01167;Garnerans;711;862.93;15;2539;120;15;2539;0;;120;;15;143;512
01169;Genouilleux;701;410.48;22;2991;103;22;2991;5;2526;103;69;12;202;622
01170;Béard-Géovreissiat;1048;469.07;12;2451;98;12;2451;0;;98;;3;539;464
01171;Géovreisset;852;327.86;13;2027;97;11;2027;4;3905;97;73;1;53;949
01173;Gex;13627;3193.77;533;4531;67;118;5280;415;4406;110;59;6;412;724
01174;Giron;174;943.76;9;2212;107;8;2044;2;9034;115;24;1;889;411
01175;Gorrevod;815;688.56;16;2213;109;16;2213;1;1205;109;80;11;44;993
01177;Grand-Corent;183;703.12;8;1206;76;7;1308;1;1104;95;41;1;28;1600
01179;Grièges;1910;1478.15;46;2404;93;44;2393;5;2566;93;97;11;467;208
01180;Grilly;889;751.47;29;5811;130;18;5219;11;6200;158;82;7;615;500
01181;Groissiat;1205;619.27;14;2260;105;12;2260;4;1550;115;83;2;428;1522
01183;Guéreins;1512;447.83;37;2804;100;35;2770;5;4455;100;95;15;238;509
01184;Hautecourt-Romanèche;748;2141.96;28;1962;103;28;1962;0;;103;;3;9;643
01185;Plateau d'Hauteville;4857;10638.44;131;1593;83;90;1815;41;1382;96;65;14;30;1131
01187;Haut Valromey;801;12179.88;29;1866;107;24;1663;5;2941;117;36;1;10391;202
01188;Illiat;702;2040.87;9;2014;97;9;2014;0;;97;;3;1367;239
01189;Injoux-Génissiat;1115;2961.65;20;2640;98;15;2781;5;2048;105;87;5;195;482
01190;Innimond;95;1324.75;6;1233;120;6;1233;0;;120;;0;;
01191;Izenave;162;1314.12;5;1305;108;5;1305;0;;108;;1;51;984
01192;Izernore;2299;2133.06;33;1842;91;33;1842;4;2395;91;61;7;278;496
01193;Izieu;225;776.81;8;2697;98;8;2697;0;;98;;3;68;905
