Code_insee;Departement;Commune;Classement FRR et FRR+ au 10 juillet 2025;
01299;01;Le Plantay;Non classée;
01301;01;Polliat;Non classée;
01302;01;Pollieu;Non classée;
01303;01;Poncin;Non classée;
01304;01;Pont-d'Ain;Non classée;
01305;01;Pont-de-Vaux;Non classée;
01306;01;Pont-de-Veyle;Non classée;
01307;01;Port;Non classée;
01308;01;Pougny;Non classée;
01309;01;Pouillat;FRR socle;
01310;01;Prémeyzel;Non classée;
01311;01;Prémillieu;Non classée;
01313;01;Prévessin-Moëns;Non classée;
01314;01;Priay;Non classée;
01317;01;Ramasse;Non classée;
01318;01;Rancé;Non classée;
01319;01;Relevant;Non classée;
01320;01;Replonges;Non classée;
01321;01;Revonnas;Non classée;
01322;01;Reyrieux;Non classée;
01323;01;Reyssouze;Non classée;
01325;01;Rignieux-le-Franc;Non classée;
01328;01;Romans;Non classée;
01329;01;Rossillon;Non classée;
01331;01;Saint-Alban;Non classée;
01332;01;Saint-André-de-Bâgé;Non classée;
01333;01;Saint-André-de-Corcy;Non classée;
01334;01;Saint-André-d'Huiriat;Non classée;
01335;01;Saint-André-le-Bouchoux;Non classée;
01336;01;Saint-André-sur-Vieux-Jonc;Non classée;
01337;01;Saint-Bénigne;Non classée;
01338;01;Groslée-Saint-Benoit;Non classée;
01339;01;Saint-Bernard;Non classée;
01342;01;Sainte-Croix;Non classée;
01343;01;Saint-Cyr-sur-Menthon;Non classée;
01344;01;Saint-Denis-lès-Bourg;Non classée;
01345;01;Saint-Denis-en-Bugey;Non classée;
01346;01;Saint-Didier-d'Aussiat;Non classée;
01347;01;Saint-Didier-de-Formans;Non classée;
01348;01;Saint-Didier-sur-Chalaronne;Non classée;
01349;01;Saint-Éloi;Non classée;
01350;01;Saint-Étienne-du-Bois;Non classée;
01351;01;Saint-Étienne-sur-Chalaronne;Non classée;
01352;01;Saint-Étienne-sur-Reyssouze;Non classée;
01353;01;Sainte-Euphémie;Non classée;
01354;01;Saint-Genis-Pouilly;Non classée;
01355;01;Saint-Genis-sur-Menthon;Non classée;
01356;01;Saint-Georges-sur-Renon;Non classée;
01357;01;Saint-Germain-de-Joux;Non classée;
01358;01;Saint-Germain-les-Paroisses;Non classée;
01359;01;Saint-Germain-sur-Renon;Non classée;
01360;01;Saint-Jean-de-Gonville;Non classée;
01361;01;Saint-Jean-de-Niost;Non classée;
01362;01;Saint-Jean-de-Thurigneux;Non classée;
01363;01;Saint-Jean-le-Vieux;Non classée;
01364;01;Saint-Jean-sur-Reyssouze;FRR bénéficiaire;
01365;01;Saint-Jean-sur-Veyle;Non classée;
01366;01;Sainte-Julie;Non classée;
01367;01;Saint-Julien-sur-Reyssouze;FRR bénéficiaire;
01368;01;Saint-Julien-sur-Veyle;Non classée;
01369;01;Saint-Just;Non classée;
01370;01;Saint-Laurent-sur-Saône;Non classée;
01371;01;Saint-Marcel;Non classée;
01372;01;Saint-Martin-de-Bavel;Non classée;
01373;01;Saint-Martin-du-Frêne;Non classée;
01374;01;Saint-Martin-du-Mont;Non classée;
01375;01;Saint-Martin-le-Châtel;Non classée;
01376;01;Saint-Maurice-de-Beynost;Non classée;
01378;01;Saint-Maurice-de-Gourdans;Non classée;
01379;01;Saint-Maurice-de-Rémens;Non classée;
01380;01;Saint-Nizier-le-Bouchoux;FRR bénéficiaire;
01381;01;Saint-Nizier-le-Désert;Non classée;
01382;01;Sainte-Olive;Non classée;
01383;01;Saint-Paul-de-Varax;Non classée;
01384;01;Saint-Rambert-en-Bugey;Non classée;
01385;01;Saint-Rémy;Non classée;
01386;01;Saint-Sorlin-en-Bugey;Non classée;
01387;01;Saint-Sulpice;Non classée;
01388;01;Saint-Trivier-de-Courtes;FRR bénéficiaire;
01389;01;Saint-Trivier-sur-Moignans;Non classée;
01390;01;Saint-Vulbas;Non classée;
01391;01;Salavre;FRR socle;
01392;01;Samognat;Non classée;
01393;01;Sandrans;Non classée;
01396;01;Sault-Brénaz;Non classée;
01397;01;Sauverny;Non classée;
01398;01;Savigneux;Non classée;
01399;01;Ségny;Non classée;
01400;01;Seillonnaz;Non classée;
01401;01;Sergy;Non classée;
01402;01;Sermoyer;Non classée;
01403;01;Serrières-de-Briord;Non classée;
01404;01;Serrières-sur-Ain;Non classée;
01405;01;Servas;Non classée;
01406;01;Servignat;FRR bénéficiaire;
01407;01;Seyssel;Non classée;
01408;01;Simandre-sur-Suran;Non classée;
01410;01;Sonthonnax-la-Montagne;Non classée;
01411;01;Souclin;Non classée;
01412;01;Sulignat;Non classée;
01415;01;Talissieu;Non classée;
01416;01;Tenay;Non classée;
01418;01;Thil;Non classée;
01419;01;Thoiry;Non classée;
01420;01;Thoissey;Non classée;
01421;01;Torcieu;Non classée;
01422;01;Tossiat;Non classée;
01423;01;Toussieux;Non classée;
01424;01;Tramoyes;Non classée;
01425;01;La Tranclière;Non classée;
01426;01;Val-Revermont;Non classée;
01427;01;Trévoux;Non classée;
01428;01;Valeins;Non classée;
01429;01;Vandeins;Non classée;
01430;01;Varambon;Non classée;
01431;01;Vaux-en-Bugey;Non classée;
01432;01;Verjon;FRR socle;
01433;01;Vernoux;FRR bénéficiaire;
01434;01;Versailleux;Non classée;
01435;01;Versonnex;Non classée;
01436;01;Vesancy;Non classée;
01437;01;Vescours;FRR bénéficiaire;
01439;01;Vésines;Non classée;
01441;01;Vieu-d'Izenave;FRR bénéficiaire;
01443;01;Villars-les-Dombes;Non classée;
01444;01;Villebois;Non classée;
01445;01;Villemotier;FRR socle;
01446;01;Villeneuve;Non classée;
01447;01;Villereversure;Non classée;
01448;01;Villes;Non classée;
01449;01;Villette-sur-Ain;Non classée;
01450;01;Villieu-Loyes-Mollon;Non classée;
01451;01;Viriat;Non classée;
01452;01;Virieu-le-Grand;Non classée;
01453;01;Arvière-en-Valromey;Non classée;
01454;01;Virignin;Non classée;
01456;01;Vongnes;Non classée;
01457;01;Vonnas;Non classée;
02001;02;Abbécourt;Non classée;
02002;02;Achery;Non classée;
02003;02;Acy;Non classée;
02004;02;Agnicourt-et-Séchelles;FRR+;
02005;02;Aguilcourt;FRR socle;
02006;02;Aisonville-et-Bernoville;FRR+;
02007;02;Aizelles;FRR+;
02008;02;Aizy-Jouy;FRR socle;
02009;02;Alaincourt;FRR+;
02010;02;Allemant;FRR+;
02011;02;Ambleny;Non classée;
02012;02;Ambrief;FRR bénéficiaire;
02013;02;Amifontaine;FRR+;
02014;02;Amigny-Rouy;Non classée;
02015;02;Ancienville;Non classée;
02016;02;Andelain;Non classée;
02017;02;Anguilcourt-le-Sart;Non classée;
02018;02;Anizy-le-Grand;FRR+;
02019;02;Annois;Non classée;
02020;02;Any-Martin-Rieux;FRR+;
02021;02;Archon;FRR socle;
02022;02;Arcy-Sainte-Restitue;FRR bénéficiaire;
02023;02;Armentières-sur-Ourcq;FRR socle;
02024;02;Arrancy;FRR+;
02025;02;Artemps;Non classée;
02027;02;Assis-sur-Serre;FRR+;
02028;02;Athies-sous-Laon;FRR+;
02029;02;Attilly;Non classée;
02030;02;Aubencheul-aux-Bois;Non classée;
02031;02;Aubenton;FRR+;
02032;02;Aubigny-aux-Kaisnes;FRR+;
02033;02;Aubigny-en-Laonnois;FRR+;
02034;02;Audignicourt;Non classée;
02035;02;Audigny;FRR+;
02036;02;Augy;FRR socle;
02037;02;Aulnois-sous-Laon;FRR+;
02038;02;Les Autels;FRR socle;
02039;02;Autremencourt;FRR+;
02040;02;Autreppes;FRR socle;
02041;02;Autreville;Non classée;
02042;02;Azy-sur-Marne;FRR socle;
02043;02;Bagneux;Non classée;
02044;02;Bancigny;FRR socle;
02046;02;Barenton-Bugny;FRR+;
02047;02;Barenton-Cel;FRR+;
02048;02;Barenton-sur-Serre;FRR+;
02049;02;Barisis-aux-Bois;FRR socle;
02050;02;Barzy-en-Thiérache;FRR socle;
02051;02;Barzy-sur-Marne;FRR socle;
02052;02;Bassoles-Aulers;FRR+;
02053;02;Vallées en Champagne;FRR+;
02054;02;Bazoches-et-Saint-Thibaut;FRR socle;
02055;02;Beaumé;FRR+;
02056;02;Beaumont-en-Beine;FRR+;
02057;02;Beaurevoir;Non classée;
02058;02;Beaurieux;FRR socle;
02059;02;Beautor;Non classée;
02060;02;Beauvois-en-Vermandois;Non classée;
02061;02;Becquigny;Non classée;
02062;02;Belleau;FRR socle;
02063;02;Bellenglise;Non classée;
02064;02;Belleu;Non classée;
02065;02;Bellicourt;Non classée;
02066;02;Benay;FRR+;
02067;02;Bergues-sur-Sambre;FRR socle;
02068;02;Berlancourt;FRR+;
02069;02;Berlise;FRR socle;
02070;02;Bernot;FRR+;
02071;02;Berny-Rivière;Non classée;
02072;02;Berrieux;FRR+;
02073;02;Berry-au-Bac;FRR socle;
02074;02;Bertaucourt-Epourdon;Non classée;
02075;02;Berthenicourt;FRR+;
02076;02;Bertricourt;FRR socle;
02078;02;Besmé;FRR socle;
02079;02;Besmont;FRR+;
02080;02;Besny-et-Loizy;FRR+;
02081;02;Béthancourt-en-Vaux;Non classée;
02082;02;Beugneux;FRR bénéficiaire;
02083;02;Beuvardes;FRR socle;
02084;02;Bézu-le-Guéry;Non classée;
02085;02;Bézu-Saint-Germain;FRR socle;
02086;02;Bichancourt;Non classée;
02087;02;Bieuxy;Non classée;
02088;02;Bièvres;FRR+;
02089;02;Billy-sur-Aisne;Non classée;
02090;02;Billy-sur-Ourcq;FRR bénéficiaire;
02091;02;Blanzy-lès-Fismes;FRR socle;
02093;02;Blérancourt;FRR socle;
02094;02;Blesmes;FRR socle;
02095;02;Bohain-en-Vermandois;Non classée;
02096;02;Bois-lès-Pargny;FRR+;
02097;02;Boncourt;FRR+;
02098;02;Bonneil;FRR socle;
02099;02;Bonnesvalyn;FRR socle;
02100;02;Bony;Non classée;
02101;02;Bosmont-sur-Serre;FRR+;
02102;02;Bouconville-Vauclair;FRR+;
02103;02;Boué;FRR socle;
02104;02;Bouffignereux;FRR socle;
02105;02;Bouresches;FRR socle;
02106;02;Bourg-et-Comin;FRR socle;
02107;02;Bourguignon-sous-Coucy;FRR socle;
02108;02;Bourguignon-sous-Montbavin;FRR+;
02109;02;La Bouteille;FRR socle;
02110;02;Braine;FRR socle;
02111;02;Brancourt-en-Laonnois;FRR+;
02112;02;Brancourt-le-Grand;Non classée;
02114;02;Brasles;FRR socle;
02115;02;Braye-en-Laonnois;FRR socle;
02116;02;Braye-en-Thiérache;FRR socle;
02117;02;Bray-Saint-Christophe;FRR+;
02118;02;Braye;FRR socle;
02119;02;Brécy;FRR socle;
02120;02;Brenelle;FRR socle;
02121;02;Breny;FRR bénéficiaire;
02122;02;Brie;FRR+;
02123;02;Brissay-Choigny;FRR+;
02124;02;Brissy-Hamégicourt;FRR+;
02125;02;Brumetz;FRR socle;
02126;02;Brunehamel;FRR socle;
02127;02;Bruyères-sur-Fère;FRR socle;
02128;02;Bruyères-et-Montbérault;FRR+;
02129;02;Bruys;FRR socle;
02130;02;Bucilly;FRR+;
02131;02;Bucy-le-Long;FRR socle;
02132;02;Bucy-lès-Cerny;FRR+;
02133;02;Bucy-lès-Pierrepont;FRR+;
02134;02;Buire;FRR socle;
02135;02;Buironfosse;FRR socle;
02136;02;Burelles;FRR socle;
02137;02;Bussiares;FRR socle;
02138;02;Buzancy;FRR bénéficiaire;
02139;02;Caillouël-Crépigny;Non classée;
02140;02;Camelin;FRR socle;
02141;02;La Capelle;FRR socle;
02142;02;Castres;Non classée;
02143;02;Le Catelet;Non classée;
02144;02;Caulaincourt;Non classée;
02145;02;Caumont;Non classée;
02146;02;Celles-lès-Condé;FRR+;
