city_code;da_name;da_population;da_surface_ha;dvf_nbtrans;dvf_pxm2_median;dvf_surface_median;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain;anct_part_actifs_transports_en_commun_2022;anct_taux_annuel_evol_population_2016_2022
18179;Pigny;966;825.26;32;1478;110;32;1478;0;;110;;7;18;1110;2.2;0.38
18180;Plaimpied-Givaudins;2101;4107.63;56;1924;99;56;1924;0;;99;;27;33;1111;2.6;1.03
18181;Plou;527;3382.76;17;1263;80;17;1263;0;;80;;7;6;598;2.1;0.16
18182;Poisieux;216;1047.43;14;1108;83;14;1108;0;;83;;5;3;659;1;-0.38
18183;Le Pondy;147;661.49;10;751;84;10;751;0;;84;;0;;;0;1.48
18184;Précy;353;1469.77;15;1012;85;15;1012;0;;85;;3;10;841;0;0.48
18185;Presly;207;7450.11;7;917;82;7;917;0;;82;;1;3;3540;0;-2.86
18186;Preuilly;477;1518.59;12;1286;91;12;1286;0;;91;;8;8;1326;0.4;0.98
18187;Préveranges;520;3806.61;36;1141;67;35;1153;2;748;65;67;6;7;589;0.7;-0.25
18188;Primelles;191;2691.45;15;987;70;15;987;0;;70;;5;9;420;1.3;-4.09
18189;Quantilly;490;1280.95;17;1515;82;16;1558;1;825;81;97;10;14;521;0;0.53
18190;Quincy;818;1830.81;30;1284;94;30;1284;0;;94;;35;9;1123;0.5;-0.89
18191;Raymond;172;933.65;8;1195;89;8;1195;0;;89;;3;2;450;3.1;-2.92
18192;Reigny;234;2451.64;17;873;90;17;873;0;;90;;6;3;2265;1.5;-2.41
18193;Rezay;204;2159.84;13;903;98;12;812;1;1522;101;46;0;;;0;-1.33
18194;Rians;950;3282.43;22;1305;82;22;1305;0;;82;;11;22;546;0.3;-0.31
18195;Sagonne;190;1896.37;11;1069;100;11;1069;0;;100;;2;127;142;1.3;0.18
18196;Saint-Aignan-des-Noyers;77;1111.43;6;1080;82;6;1080;0;;82;;2;3;912;0;-4.74
18197;Saint-Amand-Montrond;9899;2021.2;501;1131;74;400;1151;101;1070;80;52;57;11;715;2.7;-0.24
18198;Saint-Ambroix;374;3183.4;7;1080;89;6;1151;1;530;89;99;6;7;1308;0;0.27
18199;Saint-Baudel;250;3029.4;11;1046;80;11;1046;0;;80;;2;24;2032;0;0.2
18200;Saint-Bouize;253;1501.2;12;916;76;12;916;0;;76;;6;11;2326;0.9;-3.12
18201;Saint-Caprais;747;1457.24;20;1640;90;20;1640;0;;90;;10;23;1176;1.3;-0.28
18202;Saint-Céols;16;336.04;1;1278;90;1;1278;0;;90;;0;;;0;-2.36
18203;Saint-Christophe-le-Chaudry;95;1755.84;6;1239;105;6;1239;0;;105;;0;;;0;-1.83
18204;Saint-Denis-de-Palin;274;3095.56;7;887;111;7;887;0;;111;;3;10;103;0;-2.06
18205;Saint-Doulchard;9647;2396.72;328;1870;92;308;1853;20;2696;96;44;48;52;1322;4.4;0.29
18206;Saint-Éloy-de-Gy;1581;3150.39;43;1667;105;43;1667;0;;105;;15;31;1467;1.6;0.27
18207;Saint-Florent-sur-Cher;6463;2248.09;245;1293;79;214;1303;31;1131;83;51;50;33;752;4.9;-0.52
18208;Sainte-Gemme-en-Sancerrois;400;1500.7;13;1220;96;13;1220;0;;96;;9;16;1714;1.2;-1.27
18209;Saint-Georges-de-Poisieux;430;1594.16;10;1192;107;10;1192;0;;107;;8;6;1549;0;-0.82
18210;Saint-Georges-sur-la-Prée;591;2279.54;17;939;96;17;939;1;806;96;31;7;5;1188;2.2;-0.82
18211;Saint-Georges-sur-Moulon;728;955.06;22;1418;118;21;1437;1;818;118;55;15;40;884;1.6;0.49
18212;Saint-Germain-des-Bois;587;2909.55;22;1298;109;22;1298;0;;109;;6;30;1378;1.8;-0.32
